Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1468.0,AGL Energy,Utilities,Australia,3200.0,350,11990.0,4550.0,
2009,1311.0,AGL Energy,Utilities,Australia,5190.0,220,9070.0,3770.0,
2010,963.0,AGL Energy,Utilities,Australia,4760.0,1290,7300.0,5910.0,
2011,1484.0,AGL Energy,Utilities,Australia,5555.0,299.2,7341.0,6456.0,
2012,,AGL Energy,Utilities,Australia,7580.0,598.8,10380.0,7209.0,1038.0
2013,,AGL Energy,Utilities,Australia,7631.0,117.6,14481.0,9505.0,1242.0
2014,,AGL Energy,Utilities,Australia,9245.0,275.0,12466.0,7759.0,1345.0
2015,,AGL Energy,Utilities,Australia,8909.0,556.1,13031.0,7803.0,1124.0
2016,,AGL Energy,Utilities,Australia,8326.0,-404.5,10619.0,9524.0,1442.0
2017,,AGL Energy,Utilities,Australia,8608.0,272.1,10704.0,13804.0,1286.0
2018,,AGL Energy,Utilities,Australia,9968.0,640.8,11229.0,10867.0,1172.0
2019,,AGL Energy,Utilities,Australia,9485.0,937.0,10713.0,10220.0,1120.0
2020,,AGL Energy,Utilities,Australia,9188.0,651.9,10160.0,6986.0,1346.0
