Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,191.0,AIA Group,Insurance,Hong Kong-China,14641.0,2701.6,107858.0,35722.0,
2012,,AIA Group,Insurance,Hong Kong-China,12320.0,1602.5,114354.0,44064.0,248.0
2013,,AIA Group,Insurance,Hong Kong-China,20449.0,3019.0,134439.0,53545.0,150.0
2014,,AIA Group,Insurance,Hong Kong,20723.0,2822.1,145206.0,57992.0,164.0
2015,,AIA Group,Insurance,Hong Kong,25433.0,3449.9,165262.0,76673.0,136.0
2016,,AIA Group,Insurance,Hong Kong,23652.0,2691.3,165970.0,72696.0,126.0
2017,,AIA Group,Insurance,Hong Kong,26455.0,4164.0,183028.0,77076.0,111.0
2018,,AIA Group,Insurance,Hong Kong,31917.0,6120.5,213210.0,111406.0,92.0
2019,,AIA Group,Insurance,Hong Kong,39479.0,3163.0,226919.0,122238.0,113.0
2020,,AIA Group,Insurance,Hong Kong,40851.0,6649.2,280299.0,111829.0,66.0
2021,,AIA Group,Insurance,Hong Kong,42617.0,5778.2,321561.0,153663.0,55
2022,73,AIA Group,Insurance,Hong Kong,45163.0,7428.1,334883.0,120189.0,
