Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,416.0,AU Optronics,Technology Hardware & Equipment,Taiwan,14810.0,1740,18990.0,15440.0,
2009,556.0,AU Optronics,Technology Hardware & Equipment,Taiwan,12890.0,650,17280.0,6330.0,
2010,515.0,AU Optronics,Technology Hardware & Equipment,Taiwan,12890.0,650,17210.0,9440.0,
2011,868.0,AU Optronics,Consumer Durables,Taiwan,16032.0,230.0,21596.0,7908.0,
2012,,AU Optronics,Consumer Durables,Taiwan,12920.0,-2084.5,20184.0,4630.0,1240.0
2013,,AU Optronics,Consumer Durables,Taiwan,13027.0,-1879.8,18164.0,3773.0,1379.0
2014,,AU Optronics,Consumer Durables,Taiwan,14028.0,140.8,16516.0,3485.0,1401.0
2015,,AU Optronics,Consumer Durables,Taiwan,13470.0,581.7,14868.0,4870.0,1111.0
2016,,AU Optronics,Consumer Durables,Taiwan,11348.0,155.3,12956.0,2949.0,1625.0
2017,,AU Optronics,Consumer Durables,Taiwan,10204.0,242.4,13335.0,3819.0,1682.0
2018,,AU Optronics,Consumer Durables,Taiwan,11210.0,1063.7,14834.0,4091.0,1116.0
2019,,AU Optronics,Technology Hardware & Equipment,Taiwan,10202.0,337.0,13333.0,3526.0,1878.0
2022,1139,AU Optronics,Technology Hardware & Equipment,Taiwan,13271.0,2195.7,15354.0,6035.0,
