Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1568.0,Aareal Bank,Banking,Germany,2630.0,140,50270.0,1460.0,
2009,1153.0,Aareal Bank,Banking,Germany,3440.0,420,58690.0,210.0,
2010,1596.0,Aareal Bank,Banking,Germany,880.0,70,57030.0,900.0,
2011,1622.0,Aareal Bank,Banking,Germany,831.0,101.7,57920.0,1446.0,
2012,,Aareal Bank,Banking,Germany,1501.0,101.7,55202.0,1263.0,1643.0
2013,,Aareal Bank,Banking,Germany,1517.0,138.0,60295.0,1425.0,1668.0
2014,,Aareal Bank,Banking,Germany,1309.0,155.0,59226.0,2691.0,1653.0
2015,,Aareal Bank,Banking,Germany,1683.0,419.8,59964.0,2612.0,1360.0
2016,,Aareal Bank,Banking,Germany,1448.0,389.2,57215.0,2121.0,1381.0
2017,,Aareal Bank,Banking,Germany,1342.0,220.1,51096.0,2206.0,1710.0
2018,,Aareal Bank,Banking,Germany,1146.0,224.4,50979.0,3011.0,1748.0
2019,,Aareal Bank,Banking,Germany,1419.0,245.0,48798.0,2082.0,1780.0
2020,,Aareal Bank,Banking,Germany,1458.0,162.3,46176.0,978.0,1896.0
2021,,Aareal Bank,Banking,Germany,1220.0,-102.6,55645.0,1704.0,1904
2022,1893,Aareal Bank,Banking,Germany,1303.0,62.6,55413.0,2098.0,
