Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1264.0,Advanced Info Service,Telecommunications Services,Thailand,3640.0,550,3990.0,9870.0,
2009,1260.0,Advanced Info Service,Telecommunications Services,Thailand,3210.0,480,3390.0,6590.0,
2010,1310.0,Advanced Info Service,Telecommunications Services,Thailand,3070.0,510,3450.0,7890.0,
2011,1332.0,Advanced Info Service,Telecommunications services,Thailand,3701.0,683.4,2907.0,8266.0,
2012,,Advanced Info Service,Telecommunications services,Thailand,4006.0,704.0,2544.0,16595.0,1167.0
2013,,Advanced Info Service,Telecommunications services,Thailand,4626.0,1140.0,3127.0,23156.0,964.0
2014,,Advanced Info Service,Telecommunications services,Thailand,4647.0,1180.5,3415.0,21039.0,1018.0
2015,,Advanced Info Service,Telecommunications services,Thailand,4597.0,1109.3,3842.0,22468.0,1044.0
2016,,Advanced Info Service,Telecommunications services,Thailand,4531.0,1142.4,5052.0,13092.0,1104.0
2017,,Advanced Info Service,Telecommunications services,Thailand,4313.0,869.2,7699.0,14995.0,1196.0
2018,,Advanced Info Service,Telecommunications services,Thailand,4648.0,886.4,8717.0,18389.0,1243.0
2019,,Advanced Info Service,Telecommunications Services,Thailand,5254.0,918.0,8925.0,17889.0,1211.0
2020,,Advanced Info Service,Telecommunications Services,Thailand,5827.0,1004.7,9686.0,18195.0,1068.0
2021,,Advanced Info Service,Telecommunications Services,Thailand,5525.0,876.6,11700.0,15998.0,1242
2022,1514,Advanced Info Service,Telecommunications Services,Thailand,5664.0,840.9,10678.0,19093.0,
