Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,526.0,Aeon,Retailing,Japan,40770.0,490,29480.0,9420.0,
2009,477.0,Aeon,Retailing,Japan,49610.0,420,34000.0,4580.0,
2010,656.0,Aeon,Retailing,Japan,53460.0,-30,37520.0,8200.0,
2011,541.0,Aeon,Retailing,Japan,56862.0,350.1,41904.0,9287.0,
2012,,Aeon,Retailing,Japan,62331.0,730.0,45290.0,9996.0,416.0
2013,,Aeon,Retailing,Japan,64087.0,822.0,49112.0,8935.0,423.0
2014,,Aeon,Retailing,Japan,64391.0,593.7,67324.0,9274.0,476.0
2015,,Aeon,Food Markets,Japan,57560.0,526.7,65216.0,9974.0,541.0
2016,,Aeon,Food Markets,Japan,59968.0,49.8,72876.0,12979.0,626.0
2017,,Aeon,Food Markets,Japan,75490.0,57.0,76131.0,12378.0,650.0
2018,,Aeon,Food Markets,Japan,75310.0,220.1,88588.0,16519.0,614.0
2019,,Aeon,Food Markets,Japan,77102.0,214.0,90277.0,15189.0,620.0
2020,,Aeon,Food Markets,Japan,78931.0,246.2,102560.0,17093.0,555.0
2021,,Aeon,Food Markets,Japan,81199.0,-670.3,107765.0,24710.0,538
2022,660,Aeon,Food Markets,Japan,78170.0,58.3,101004.0,16115.0,
