Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,875.0,Air France-KLM,Transportation,France,31540.0,-1070,37130.0,3970.0,
2011,930.0,Air France-KLM,Airline,France,28370.0,-2106.8,36308.0,4938.0,
2012,,Air France-KLM,Airline,France,33449.0,868.3,39786.0,1745.0,673.0
2013,,Air France-KLM,Airline,France,33817.0,-1573.0,34704.0,3102.0,1035.0
2014,,Air France-KLM,Airline,France,34035.0,-2424.2,35032.0,4686.0,1036.0
2015,,Air France-KLM,Airline,France,33095.0,-263.0,28108.0,2747.0,1072.0
2016,,Air France-KLM,Airline,France,28897.0,130.9,25349.0,2682.0,1109.0
2017,,Air France-KLM,Airline,France,27482.0,876.1,24188.0,2193.0,794.0
2018,,Air France-KLM,Airline,France,29080.0,-309.1,29309.0,3778.0,1128.0
2019,,Air France-KLM,Transportation,France,31278.0,483.0,33217.0,5345.0,950.0
2020,,Air France-KLM,Transportation,France,30430.0,324.6,34500.0,2176.0,1096.0
2021,,Air France-KLM,Transportation,France,12640.0,-8068.7,36965.0,2550.0,1304
2022,1303,Air France-KLM,Transportation,France,16920.0,-3886.4,34893.0,2854.0,
