Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1996.0,Allahabad Bank,Banking,India,1220.0,180,15680.0,1230.0,
2009,1629.0,Allahabad Bank,Banking,India,1810.0,250,20710.0,350.0,
2010,1852.0,Allahabad Bank,Banking,India,1660.0,150,19280.0,1290.0,
2011,1591.0,Allahabad Bank,Banking,India,2208.0,274.1,27154.0,1960.0,
2012,,Allahabad Bank,Banking,India,2794.0,323.2,33997.0,1800.0,1523.0
2013,,Allahabad Bank,Banking,India,3309.0,367.0,35982.0,1284.0,1466.0
2014,,Allahabad Bank,Banking,India,3496.0,222.7,37695.0,819.0,1810.0
2015,,Allahabad Bank,Banking,India,3483.0,196.6,36996.0,880.0,1818.0
2016,,Allahabad Bank,Banking,India,3577.0,106.2,36381.0,543.0,1834.0
2017,,Allahabad Bank,Banking,India,3208.0,-109.9,35707.0,838.0,1845.0
2018,,Allahabad Bank,Banking,India,3067.0,-41.6,36646.0,573.0,1882.0
2019,,Allahabad Bank,Banking,India,3021.0,-710.0,38909.0,1544.0,1884.0
