Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1016.0,Allergan,Drugs & Biotechnology,United States,3940.0,500,6580.0,18210.0,
2009,920.0,Allergan,Drugs & Biotechnology,United States,4400.0,580,6790.0,11800.0,
2010,820.0,Allergan,Drugs & Biotechnology,United States,4500.0,620,7540.0,18330.0,
2011,1280.0,Allergan,Drugs & Biotechnology,United States,4919.0,0.6,8308.0,21858.0,
2012,,Allergan,Drugs & Biotechnology,United States,5419.0,934.5,8509.0,28313.0,851.0
2013,,Allergan,Drugs & Biotechnology,United States,5806.0,1098.8,9179.0,32729.0,805.0
2014,,Allergan,Drugs & Biotechnology,United States,6300.0,1272.5,10574.0,36932.0,753.0
2016,,Allergan,Drugs & Biotechnology,United States,18276.0,3915.2,135841.0,90539.0,135.0
2017,,Allergan,Drugs & Biotechnology,Ireland,14967.0,14973.4,128986.0,80068.0,149.0
2018,,Allergan,Drugs & Biotechnology,Ireland,16040.0,-1846.4,112021.0,52104.0,582.0
2019,,Allergan,Drugs & Biotechnology,Ireland,15787.0,-5096.0,101788.0,46333.0,595.0
2020,,Allergan,Drugs & Biotechnology,Ireland,16089.0,-5271.0,94699.0,61635.0,561.0
