Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,129.0,Allstate,Insurance,United States,36770.0,4640,156410.0,26750.0,
2009,526.0,Allstate,Insurance,United States,29390.0,-1680,134800.0,9020.0,
2010,195.0,Allstate,Insurance,United States,32010.0,850,132650.0,16940.0,
2011,264.0,Allstate,Insurance,United States,31400.0,928.0,130874.0,16947.0,
2012,,Allstate,Insurance,United States,32654.0,788.0,125563.0,16284.0,310.0
2013,,Allstate,Insurance,United States,33315.0,2306.0,126947.0,22908.0,183.0
2014,,Allstate,Insurance,United States,34187.0,2280.0,123520.0,25257.0,195.0
2015,,Allstate,Insurance,United States,34874.0,2850.0,110306.0,29488.0,194.0
2016,,Allstate,Insurance,United States,35586.0,2171.0,106495.0,24685.0,202.0
2017,,Allstate,Insurance,United States,36276.0,1877.0,110374.0,29616.0,200.0
2018,,Allstate,Insurance,United States,38003.0,3469.0,113289.0,33877.0,185.0
2019,,Allstate,Insurance,United States,39124.0,2252.0,113399.0,32206.0,223.0
2020,,Allstate,Insurance,United States,44251.0,4847.0,121143.0,32185.0,147.0
2021,,Allstate,Insurance,United States,44791.0,5572.0,117932.0,36702.0,151
2022,203,Allstate,Insurance,Canada,50588.0,5690.0,90663.0,36448.0,
