Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,404.0,Alstom,Conglomerates,France,18990.0,600,24680.0,30090.0,
2009,249.0,Alstom,Conglomerates,France,26710.0,1350,32130.0,13770.0,
2010,244.0,Alstom,Conglomerates,France,24660.0,1460,30850.0,18630.0,
2011,320.0,Alstom,Conglomerates,France,26554.0,1644.6,33822.0,15941.0,
2012,,Alstom,Conglomerates,France,29636.0,654.4,40226.0,12030.0,444.0
2013,,Alstom,Conglomerates,France,26614.0,977.3,39385.0,13952.0,386.0
2014,,Alstom,Conglomerates,France,26562.0,1015.2,41185.0,9128.0,493.0
2015,,Alstom,Conglomerates,France,18439.0,594.1,41961.0,9799.0,644.0
2016,,Alstom,Conglomerates,France,7341.0,-1171.6,37161.0,5658.0,1281.0
2017,,Alstom,Conglomerates,France,7938.0,-1134.9,16321.0,6637.0,1538.0
2018,,Alstom,Conglomerates,France,8268.0,412.7,16800.0,10231.0,1280.0
2019,,Alstom,Capital Goods,France,9759.0,981.0,15868.0,10216.0,963.0
2020,,Alstom,Capital Goods,France,9250.0,373.3,14124.0,9247.0,1414.0
2021,,Alstom,Capital Goods,France,8483.0,441.0,15179.0,20011.0,1121
2022,1232,Alstom,Capital Goods,France,15188.0,65.7,35149.0,8763.0,
