Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,465.0,Ameriprise Financial,Diversified Financials,United States,8650.0,970,109850.0,11740.0,
2009,895.0,Ameriprise Financial,Diversified Financials,United States,7150.0,-40,95680.0,3490.0,
2010,413.0,Ameriprise Financial,Diversified Financials,United States,7950.0,720,113770.0,10290.0,
2011,371.0,Ameriprise Financial,Diversified Financials,United States,10046.0,1095.0,131192.0,15328.0,
2012,,Ameriprise Financial,Diversified Financials,United States,10239.0,1076.0,133986.0,12808.0,422.0
2013,,Ameriprise Financial,Diversified Financials,United States,10259.0,1029.0,134729.0,15124.0,409.0
2014,,Ameriprise Financial,Diversified Financials,United States,11203.0,1334.0,144576.0,21320.0,362.0
2015,,Ameriprise Financial,Diversified Financials,United States,12146.0,1619.0,148810.0,23597.0,335.0
2016,,Ameriprise Financial,Diversified Financials,United States,12205.0,1562.0,145342.0,16818.0,334.0
2017,,Ameriprise Financial,Diversified Financials,United States,11735.0,1314.0,139821.0,19895.0,343.0
2018,,Ameriprise Financial,Diversified Financials,United States,12023.0,1671.0,144762.0,19822.0,401.0
2019,,Ameriprise Financial,Diversified Financials,United States,12592.0,2098.0,137216.0,19399.0,372.0
2020,,Ameriprise Financial,Diversified Financials,United States,14434.0,1893.0,151828.0,14134.0,353.0
2021,,Ameriprise Financial,Diversified Financials,United States,12066.0,1534.0,165883.0,29006.0,314
2022,341,Ameriprise Financial,Diversified Financials,United States,13886.0,2760.0,175979.0,30970.0,
