Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,136.0,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,22410.0,1790,112240.0,43800.0,
2010,70.0,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,36760.0,4610,111580.0,81480.0,
2012,,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,39046.0,5855.0,112427.0,115294.0,93.0
2013,,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,39758.0,7243.0,122621.0,153479.0,76.0
2014,,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,43166.0,14474.5,141666.0,171208.0,64.0
2015,,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,47084.0,9239.5,144888.0,204569.0,57.0
2016,,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,43604.0,8267.2,136532.0,204589.0,56.0
2017,,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,45558.0,1246.7,261139.0,213102.0,126.0
2018,,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,56361.0,7907.8,248635.0,184307.0,41.0
2019,,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,54620.0,4330.0,233841.0,175653.0,69.0
2020,,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,52315.0,9143.5,238279.0,89879.0,56.0
2021,,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,46752.0,-742.0,229952.0,134128.0,377
2022,93,Anheuser-Busch InBev,"Food, Drink & Tobacco",Belgium,54334.0,4663.7,219370.0,118519.0,
