Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,595.0,Aon,Insurance,United States,7470.0,860,24950.0,12710.0,
2009,462.0,Aon,Insurance,United States,7630.0,1460,22940.0,10460.0,
2010,514.0,Aon,Insurance,United States,7600.0,750,22960.0,10940.0,
2011,525.0,Aon,Insurance,United States,8512.0,707.0,28982.0,17071.0,
2012,,Aon,Insurance,United States,11287.0,979.0,29552.0,15924.0,491.0
2013,,Aon,Insurance,United Kingdom,11514.0,993.0,30486.0,18663.0,473.0
2014,,Aon,Insurance,United Kingdom,11843.0,1113.0,30251.0,25533.0,455.0
2015,,Aon,Insurance,United Kingdom,12040.0,1397.0,29772.0,27417.0,461.0
2016,,Aon,Insurance,United Kingdom,11685.0,1385.0,27164.0,27881.0,420.0
2017,,Aon,Insurance,United Kingdom,11623.0,1396.0,26615.0,31418.0,444.0
2018,,Aon,Insurance,United Kingdom,10694.0,742.0,27847.0,35232.0,630.0
2019,,Aon,Insurance,Ireland,10761.0,1052.0,26422.0,42140.0,571.0
2020,,Aon,Insurance,Ireland,11011.0,1532.0,29405.0,39901.0,485.0
2021,,Aon,Insurance,Ireland,11069.0,1969.0,32114.0,54037.0,402
2022,554,Aon,Insurance,Ireland,12193.0,1255.0,31917.0,68813.0,
