Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,881.0,Arab National Bank,Banking,Saudi Arabia,1660.0,670,20810.0,12640.0,
2009,836.0,Arab National Bank,Banking,Saudi Arabia,1790.0,660,32320.0,4680.0,
2010,831.0,Arab National Bank,Banking,Saudi Arabia,1410.0,630,29410.0,7570.0,
2011,1018.0,Arab National Bank,Banking,Saudi Arabia,1358.0,509.6,30940.0,7280.0,
2012,,Arab National Bank,Banking,Saudi Arabia,1347.0,579.0,31351.0,7456.0,1028.0
2013,,Arab National Bank,Banking,Saudi Arabia,1475.0,632.2,36433.0,6233.0,1065.0
2014,,Arab National Bank,Banking,Saudi Arabia,1604.0,672.6,36778.0,8026.0,1001.0
2015,,Arab National Bank,Banking,Saudi Arabia,1593.0,766.5,43883.0,8717.0,971.0
2016,,Arab National Bank,Banking,Saudi Arabia,1546.0,784.7,44417.0,5453.0,1114.0
2017,,Arab National Bank,Banking,Saudi Arabia,2175.0,760.9,45314.0,5306.0,1200.0
2018,,Arab National Bank,Banking,Saudi Arabia,2066.0,807.1,45783.0,7975.0,1123.0
2019,,Arab National Bank,Banking,Saudi Arabia,2176.0,883.0,47528.0,10000.0,1003.0
2020,,Arab National Bank,Banking,Saudi Arabia,2347.0,843.7,48901.0,8165.0,1013.0
2021,,Arab National Bank,Banking,Saudi Arabia,1807.0,552.9,48085.0,8518.0,1376
2022,1310,Arab National Bank,Banking,Saudi Arabia,1653.0,580.3,51274.0,12799.0,
