Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1117.0,AutoZone,Retailing,United States,6270.0,610,4940.0,7270.0,
2009,904.0,AutoZone,Retailing,United States,6550.0,640,5110.0,8170.0,
2010,908.0,AutoZone,Retailing,United States,6990.0,680,5420.0,8220.0,
2011,903.0,AutoZone,Retailing,United States,7720.0,791.8,5766.0,11646.0,
2012,,AutoZone,Retailing,United States,8349.0,886.9,6056.0,14765.0,869.0
2013,,AutoZone,Retailing,United States,8722.0,952.0,6662.0,14140.0,872.0
2014,,AutoZone,Retailing,United States,9385.0,1047.7,7263.0,17827.0,846.0
2015,,AutoZone,Retailing,United States,9795.0,1108.9,7950.0,22062.0,813.0
2016,,AutoZone,Retailing,United States,10427.0,1196.9,8366.0,23023.0,754.0
2017,,AutoZone,Retailing,United States,10750.0,1269.6,8903.0,19897.0,772.0
2018,,AutoZone,Retailing,United States,11134.0,1336.1,9404.0,17778.0,862.0
2019,,AutoZone,Retailing,United States,11311.0,1413.0,9745.0,26009.0,783.0
2020,,AutoZone,Retailing,United States,12078.0,1620.8,12864.0,23827.0,679.0
2021,,AutoZone,Retailing,United States,13390.0,1871.7,14160.0,32964.0,605
2022,669,AutoZone,Retailing,United States,15603.0,2408.9,14078.0,42879.0,
