Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1459.0,Avis Budget Group,Business Services & Supplies,United States,5990.0,-920,14910.0,1190.0,
2009,1652.0,Avis Budget Group,Business Services & Supplies,United States,5980.0,-1120,11320.0,40.0,
2010,1829.0,Avis Budget Group,Business Services & Supplies,United States,5130.0,-50,10090.0,1120.0,
2011,1930.0,Avis Budget Group,Business Services & Supplies,United States,5185.0,54.0,10327.0,1618.0,
2012,,Avis Budget Group,Business Services & Supplies,United States,5900.0,-29.0,12938.0,1507.0,1878.0
2013,,Avis Budget Group,Business Services & Supplies,United States,7357.0,290.0,15218.0,3014.0,1541.0
2014,,Avis Budget Group,Business Services & Supplies,United States,7938.0,16.0,16335.0,5285.0,1571.0
2015,,Avis Budget Group,Business Services & Supplies,United States,8485.0,245.0,17023.0,6013.0,1539.0
2016,,Avis Budget Group,Business Services & Supplies,United States,8502.0,313.0,17687.0,2386.0,1421.0
2017,,Avis Budget Group,Business Services & Supplies,United States,8659.0,163.0,17789.0,2349.0,1592.0
2018,,Avis Budget Group,Business Services & Supplies,United States,8977.0,381.0,19222.0,3527.0,1529.0
2019,,Avis Budget Group,Business Services & Supplies,United States,9124.0,165.0,19234.0,2686.0,1662.0
2020,,Avis Budget Group,Business Services & Supplies,United States,9172.0,302.0,24031.0,1146.0,1625.0
2022,910,Avis Budget Group,Business Services & Supplies,United States,9313.0,1285.0,22600.0,16026.0,
