Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,101.0,Aviva,Insurance,United Kingdom,81830.0,2650,633910.0,31900.0,
2009,488.0,Aviva,Insurance,United Kingdom,28230.0,-1330,513030.0,10950.0,
2010,122.0,Aviva,Insurance,United Kingdom,95980.0,1750,559710.0,15510.0,
2011,135.0,Aviva,Insurance,United Kingdom,90657.0,2282.4,567916.0,20500.0,
2012,,Aviva,Insurance,United Kingdom,55219.0,349.4,474041.0,17459.0,392.0
2013,,Aviva,Insurance,United Kingdom,69008.0,-5100.8,512742.0,14541.0,520.0
2014,,Aviva,Insurance,United Kingdom,53788.0,3139.0,449930.0,24125.0,143.0
2015,,Aviva,Insurance,United Kingdom,51144.0,2583.4,463899.0,24454.0,162.0
2016,,Aviva,Insurance,United Kingdom,35974.0,1402.5,540856.0,25717.0,187.0
2017,,Aviva,Insurance,United Kingdom,74329.0,948.6,511145.0,25914.0,208.0
2018,,Aviva,Insurance,United Kingdom,63718.0,1927.9,580591.0,29521.0,171.0
2019,,Aviva,Insurance,United Kingdom,37911.0,2043.0,533286.0,21967.0,232.0
2020,,Aviva,Insurance,United Kingdom,89543.0,3207.2,593073.0,11958.0,213.0
2021,,Aviva,Insurance,Venezuela,58956.0,3553.4,637708.0,22331.0,165
2022,502,Aviva,Insurance,United Kingdom,45128.0,572.1,465175.0,21030.0,
