Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,1765.0,BBMG,Construction,China,1714.0,298.1,5160.0,8583.0,
2012,,BBMG,Construction,China,3337.0,412.1,9185.0,5494.0,1782.0
2013,,BBMG,Construction,China,5132.0,470.0,13338.0,4391.0,1513.0
2014,,BBMG,Construction,China,7038.0,525.4,16327.0,4731.0,1291.0
2015,,BBMG,Construction,China,6516.0,391.6,18647.0,8563.0,1206.0
2016,,BBMG,Construction,China,6153.0,320.5,20135.0,6463.0,1349.0
2017,,BBMG,Construction,China,6939.0,406.9,29987.0,8873.0,1035.0
2018,,BBMG,Construction,China,9109.0,320.0,37399.0,6595.0,1362.0
2019,,BBMG,Construction,China,12034.0,503.0,39075.0,6217.1,1054.0
2020,,BBMG,Construction,China,12495.0,497.6,40042.0,2713.0,1048.0
2021,,BBMG,Construction,China,15429.0,406.7,44551.0,2199.0,979
2022,1194,BBMG,Construction,China,18911.0,454.0,44930.0,1729.0,
