Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,40.0,BBVA-Banco Bilbao Vizcaya,Banking,Spain,54340.0,8940,733140.0,78290.0,
2009,40.0,BBVA-Banco Bilbao Vizcaya,Banking,Spain,56510.0,6990,747990.0,27560.0,
2010,48.0,BBVA-Banco Bilbao Vizcaya,Banking,Spain,49270.0,6030,760390.0,48200.0,
2011,66.0,BBVA-Banco Bilbao Vizcaya,Banking,Spain,43372.0,6259.7,734099.0,52269.0,
2012,,BBVA-Banco Bilbao Vizcaya,Banking,Spain,46749.0,3940.4,767669.0,43056.0,83.0
2013,,BBVA-Banco Bilbao Vizcaya,Banking,Spain,52119.0,2209.6,840850.0,54653.0,91.0
2014,,BBVA-Banco Bilbao Vizcaya,Banking,Spain,28195.0,2957.9,802759.0,71030.0,118.0
2015,,BBVA-Banco Bilbao Vizcaya,Banking,Spain,28148.0,3472.6,764681.0,66117.0,115.0
2016,,BBVA-Banco Bilbao Vizcaya,Banking,Spain,25819.0,2929.8,814810.0,46875.0,115.0
2017,,BBVA-Banco Bilbao Vizcaya,Banking,Spain,27273.0,3844.0,771925.0,49646.0,105.0
2018,,BBVA-Banco Bilbao Vizcaya,Banking,Spain,29239.0,4277.1,843010.0,54477.0,116.0
2019,,BBVA-Banco Bilbao Vizcaya,Banking,Spain,28305.0,5535.0,773557.0,41641.0,135.0
2020,,BBVA-Banco Bilbao Vizcaya,Banking,Spain,38283.0,616.6,802005.0,21774.0,320.0
2021,,BBVA-Banco Bilbao Vizcaya,Banking,Spain,32934.0,1487.7,900748.0,34772.0,191
2022,151,BBVA-Banco Bilbao Vizcaya,Banking,Spain,41977.0,5041.1,753833.0,35280.0,
