Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,13.0,BNP Paribas,Banking,France,116160.0,10710,2494410.0,81900.0,
2009,29.0,BNP Paribas,Banking,France,107960.0,4200,2888730.0,29980.0,
2010,11.0,BNP Paribas,Banking,France,101060.0,8370,2952220.0,86670.0,
2011,11.0,BNP Paribas,Banking,France,130388.0,10521.9,2680652.0,88037.0,
2012,,BNP Paribas,Banking,France,119003.0,7854.1,2539104.0,61530.0,20.0
2013,,BNP Paribas,Banking,France,126214.0,8645.0,2504194.0,71279.0,22.0
2014,,BNP Paribas,Banking,France,123203.0,6415.0,2480502.0,98614.0,24.0
2015,,BNP Paribas,Banking,France,124517.0,208.3,2514192.0,78408.0,368.0
2016,,BNP Paribas,Banking,France,74910.0,7423.1,2166292.0,66847.0,24.0
2017,,BNP Paribas,Banking,France,74702.0,8370.6,2190672.0,80499.0,23.0
2018,,BNP Paribas,Banking,France,117774.0,8501.2,2353870.0,93581.0,19.0
2019,,BNP Paribas,Banking,France,101602.0,8446.0,2332982.0,68712.0,34.0
2020,,BNP Paribas,Banking,France,128027.0,8668.6,2429890.0,39215.0,42.0
2021,,BNP Paribas,Banking,France,102681.0,7553.5,3044793.0,79094.0,30
2022,39,BNP Paribas,Banking,France,127425.0,9848.3,2995890.0,68763.0,
