Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1763.0,BOK Financial,Banking,United States,1560.0,220,20840.0,3480.0,
2009,1728.0,BOK Financial,Banking,United States,1500.0,150,22730.0,2030.0,
2010,1561.0,BOK Financial,Banking,United States,1410.0,200,23520.0,3130.0,
2011,1718.0,BOK Financial,Banking,United States,1372.0,246.8,23942.0,3570.0,
2012,,BOK Financial,Banking,United States,1384.0,285.9,25494.0,3935.0,1758.0
2013,,BOK Financial,Banking,United States,1458.0,351.2,28149.0,4248.0,1566.0
2014,,BOK Financial,Banking,United States,1330.0,314.2,27015.0,4936.0,1711.0
2015,,BOK Financial,Banking,United States,1339.0,290.0,29090.0,4226.0,1853.0
2016,,BOK Financial,Banking,United States,1395.0,285.2,31654.0,4066.0,1773.0
2017,,BOK Financial,Banking,United States,1502.0,229.8,32954.0,5005.0,1901.0
2018,,BOK Financial,Banking,United States,1656.0,348.3,33361.0,6781.0,1816.0
2019,,BOK Financial,Banking,United States,1850.0,442.0,38168.0,6235.0,1625.0
2020,,BOK Financial,Banking,United States,2218.0,449.8,47119.0,3641.0,1565.0
2021,,BOK Financial,Banking,United States,1927.0,432.8,46671.0,6355.0,1549
2022,1647,BOK Financial,Banking,United States,2006.0,622.4,50249.0,6015.0,
