Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,156.0,BT Group,Telecommunications Services,United Kingdom,39810.0,5610,47320.0,35600.0,
2009,159.0,BT Group,Telecommunications Services,United Kingdom,41080.0,3450,58340.0,10010.0,
2010,586.0,BT Group,Telecommunications Services,United Kingdom,30430.0,-120,40380.0,13150.0,
2011,250.0,BT Group,Telecommunications services,United Kingdom,31731.0,1559.9,40174.0,23371.0,
2012,,BT Group,Telecommunications services,United Kingdom,32173.0,2407.1,36994.0,26558.0,241.0
2013,,BT Group,Telecommunications services,United Kingdom,30941.0,3208.3,37263.0,32467.0,221.0
2014,,BT Group,Telecommunications services,United Kingdom,28642.0,3195.0,39907.0,50045.0,218.0
2015,,BT Group,Telecommunications services,United Kingdom,29572.0,3311.2,40127.0,55413.0,214.0
2016,,BT Group,Telecommunications services,United Kingdom,27335.0,3853.1,38091.0,62441.0,207.0
2017,,BT Group,Telecommunications services,United Kingdom,31668.0,3081.8,53969.0,38516.0,203.0
2018,,BT Group,Telecommunications services,United Kingdom,30788.0,2176.4,61052.0,29179.0,282.0
2019,,BT Group,Telecommunications Services,United Kingdom,31467.0,2693.0,59982.0,29633.0,275.0
2020,,BT Group,Telecommunications Services,United Kingdom,29609.0,2774.6,63334.0,14452.0,314.0
2021,,BT Group,Telecommunications Services,United Kingdom,28102.0,1939.3,69174.0,21139.0,289
2022,413,BT Group,Telecommunications Services,United Kingdom,28844.0,1432.4,69551.0,23741.0,
