Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,351.0,Banca MPS,Banking,Italy,10890.0,1200,208320.0,13830.0,
2009,224.0,Banca MPS,Banking,Italy,14660.0,2100,236070.0,8280.0,
2010,248.0,Banca MPS,Banking,Italy,16930.0,1520,292220.0,9850.0,
2011,604.0,Banca MPS,Banking,Italy,13297.0,315.4,317162.0,8607.0,
2012,,Banca MPS,Banking,Italy,11803.0,1319.3,322193.0,5793.0,512.0
2013,,Banca MPS,Banking,Italy,12122.0,-4077.0,288859.0,3221.0,1024.0
2014,,Banca MPS,Banking,Italy,6690.0,-1910.5,274358.0,4525.0,1207.0
2015,,Banca MPS,Banking,Italy,8201.0,-7098.0,221976.0,3497.0,1145.0
2016,,Banca MPS,Banking,Italy,5179.0,-124.2,183842.0,2248.0,1327.0
2017,,Banca MPS,Banking,Italy,5887.0,-3585.3,161828.0,,1274.0
2018,,Banca MPS,Banking,Italy,6542.0,-3950.4,167306.0,4220.0,1264.0
2019,,Banca MPS,Banking,Italy,4000.0,329.0,149159.0,1733.0,1528.0
2020,,Banca MPS,Banking,Italy,4744.0,-1140.8,148461.0,1347.0,1569.0
2021,,Banca MPS,Banking,Italy,4568.0,-1925.4,184065.0,1358.0,1571
2022,1573,Banca MPS,Banking,Italy,3861.0,365.8,156784.0,892.0,
