Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,56.0,Bank of China,Banking,China,31130.0,5490,679570.0,171450.0,
2009,30.0,Bank of China,Banking,China,40100.0,7700,817840.0,105040.0,
2010,22.0,Bank of China,Banking,China,52200.0,9450,1016310.0,147000.0,
2011,21.0,Bank of China,Banking,China,49385.0,11874.8,1277780.0,143001.0,
2012,,Bank of China,Banking,China,60834.0,15842.3,1583657.0,129053.0,21.0
2013,,Bank of China,Banking,China,98119.0,22098.0,2033780.0,131683.0,11.0
2014,,Bank of China,Banking,China,105111.0,25516.4,2291829.0,124249.0,9.0
2015,,Bank of China,Banking,China,120297.0,27526.8,2458336.0,199130.0,4.0
2016,,Bank of China,Banking,China,122027.0,27209.5,2589605.0,143002.0,6.0
2017,,Bank of China,Banking,China,113107.0,24856.6,2611539.0,141321.0,8.0
2018,,Bank of China,Banking,China,118150.0,26353.5,3204207.0,158628.0,9.0
2019,,Bank of China,Banking,China,126677.0,27500.0,3097612.0,142958.0,8.0
2020,,Bank of China,Banking,China,135353.0,27216.3,3387044.0,112774.0,10.0
2021,,Bank of China,Banking,China,134016.0,27945.8,3731408.0,116688.0,14
2022,13,Bank of China,Banking,China,152425.0,33574.4,4192836.0,117825.0,
