Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1506.0,Bank of Greece,Banking,Greece,1790.0,230,46080.0,2190.0,
2009,1266.0,Bank of Greece,Banking,Greece,2230.0,310,62370.0,920.0,
2010,1144.0,Bank of Greece,Banking,Greece,2660.0,310,98580.0,1130.0,
2011,1418.0,Bank of Greece,Banking,Greece,2500.0,245.2,124240.0,928.0,
2012,,Bank of Greece,Banking,Greece,2638.0,191.2,185993.0,413.0,1500.0
2013,,Bank of Greece,Banking,Greece,5433.0,336.0,210652.0,366.0,1118.0
2014,,Bank of Greece,Banking,Greece,2762.0,1103.0,150878.0,432.0,979.0
2015,,Bank of Greece,Banking,Greece,1606.0,868.2,124818.0,206.0,1024.0
2016,,Bank of Greece,Banking,Greece,2170.0,1289.5,177673.0,218.0,953.0
2017,,Bank of Greece,Banking,Greece,1935.0,1208.4,,240.0,1727.0
2018,,Bank of Greece,Banking,Greece,1679.0,1062.3,,354.0,1860.0
2020,,Bank of Greece,Banking,Greece,1326.0,942.8,122526.0,286.0,1055.0
2021,,Bank of Greece,Banking,Greece,1324.0,942.8,,366.0,1933
2022,1245,Bank of Greece,Banking,Greece,1122.0,754.0,224156.0,385.0,
