Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1375.0,Bank of India,Banking,India,2480.0,260,32800.0,4720.0,
2009,997.0,Bank of India,Banking,India,3620.0,490,44690.0,2310.0,
2010,902.0,Bank of India,Banking,India,3790.0,600,44620.0,3800.0,
2011,963.0,Bank of India,Banking,India,4593.0,398.7,61659.0,5302.0,
2012,,Bank of India,Banking,India,5497.0,570.8,79161.0,3923.0,989.0
2013,,Bank of India,Banking,India,6271.0,535.7,76078.0,3436.0,973.0
2014,,Bank of India,Banking,India,6593.0,518.1,83976.0,2412.0,976.0
2015,,Bank of India,Banking,India,7023.0,494.2,96807.0,2115.0,982.0
2016,,Bank of India,Banking,India,7844.0,329.2,99916.0,1197.0,1050.0
2017,,Bank of India,Banking,India,6990.0,-947.6,93115.0,2307.0,1250.0
2018,,Bank of India,Banking,India,6920.0,-219.2,97332.0,2588.0,1292.0
2019,,Bank of India,Banking,India,6842.0,-925.0,94322.0,3844.0,1334.0
2020,,Bank of India,Banking,India,7095.0,108.9,89151.0,1536.0,1349.0
2021,,Bank of India,Banking,India,6633.0,-216.0,98590.0,3072.0,1392
2022,1525,Bank of India,Banking,India,6258.0,390.6,98509.0,2656.0,
