Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,183.0,Bank of New York Mellon,Banking,United States,14780.0,2220,197660.0,50270.0,
2009,173.0,Bank of New York Mellon,Banking,United States,16340.0,1450,237510.0,25470.0,
2010,575.0,Bank of New York Mellon,Banking,United States,8280.0,-1080,212220.0,34330.0,
2011,176.0,Bank of New York Mellon,Banking,United States,14483.0,2518.0,247259.0,35955.0,
2012,,Bank of New York Mellon,Banking,United States,15334.0,2516.0,325266.0,29084.0,192.0
2013,,Bank of New York Mellon,Banking,United States,15089.0,2445.0,358990.0,33522.0,195.0
2014,,Bank of New York Mellon,Banking,United States,15097.0,2065.0,374310.0,40254.0,214.0
2015,,Bank of New York Mellon,Banking,United States,15134.0,2524.0,385303.0,45132.0,202.0
2016,,Bank of New York Mellon,Banking,United States,15429.0,3161.0,372870.0,44181.0,161.0
2017,,Bank of New York Mellon,Banking,United States,15618.0,3495.0,333469.0,48830.0,163.0
2018,,Bank of New York Mellon,Banking,United States,17279.0,4302.0,373597.0,57791.0,162.0
2019,,Bank of New York Mellon,Banking,United States,19538.0,4022.0,346132.0,46353.0,177.0
2020,,Bank of New York Mellon,Banking,United States,20757.0,4462.0,468155.0,33225.0,159.0
2021,,Bank of New York Mellon,Banking,United States,15896.0,3561.0,469633.0,40401.0,197
2022,266,Bank of New York Mellon,Banking,United States,16091.0,3604.0,473811.0,35682.0,
