Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1973.0,Bank of Queensland,Banking,Australia,1190.0,110,16360.0,1890.0,
2009,1802.0,Bank of Queensland,Banking,Australia,1880.0,110,25640.0,760.0,
2010,1784.0,Bank of Queensland,Banking,Australia,1840.0,120,28660.0,2150.0,
2011,1746.0,Bank of Queensland,Banking,Australia,2116.0,159.9,34326.0,2164.0,
2012,,Bank of Queensland,Banking,Australia,3045.0,169.9,42687.0,1718.0,1724.0
2013,,Bank of Queensland,Banking,Australia,2835.0,-18.0,43025.0,3079.0,1751.0
2014,,Bank of Queensland,Banking,Australia,2455.0,186.1,37897.0,3801.0,1805.0
2015,,Bank of Queensland,Banking,Australia,2139.0,247.3,37494.0,3861.0,1805.0
2016,,Bank of Queensland,Banking,Australia,1757.0,246.8,35599.0,3493.0,1852.0
2017,,Bank of Queensland,Banking,Australia,1742.0,246.6,39178.0,3491.0,1815.0
2018,,Bank of Queensland,Banking,Australia,1760.0,281.8,39938.0,2978.0,1841.0
2019,,Bank of Queensland,Banking,Australia,1674.0,234.0,37713.0,2618.0,1901.0
2022,1794,Bank of Queensland,Banking,Australia,1585.0,316.0,68861.0,3696.0,
