Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2012,,Banque Centrale Populaire,Banking,Morocco,1753.0,225.6,27626.0,3655.0,1907.0
2013,,Banque Centrale Populaire,Banking,Morocco,1870.0,222.0,32050.0,3892.0,1871.0
2014,,Banque Centrale Populaire,Banking,Morocco,2160.0,232.1,35567.0,4107.0,1842.0
2015,,Banque Centrale Populaire,Banking,Morocco,2394.0,261.1,34164.0,3901.0,1855.0
2016,,Banque Centrale Populaire,Banking,Morocco,2114.0,257.4,33161.0,4110.0,1844.0
2017,,Banque Centrale Populaire,Banking,Morocco,2420.0,269.5,34751.0,4701.0,1807.0
2018,,Banque Centrale Populaire,Banking,Morocco,2707.0,292.9,41036.0,5682.0,1827.0
2019,,Banque Centrale Populaire,Banking,Morocco,2409.0,313.0,41422.0,5038.0,1855.0
2020,,Banque Centrale Populaire,Banking,Morocco,2349.0,347.3,45084.0,4186.0,1813.0
2021,,Banque Centrale Populaire,Banking,Morocco,2737.0,129.5,49895.0,5794.0,1953
2022,1929,Banque Centrale Populaire,Banking,Morocco,2953.0,196.2,50249.0,5489.0,
