Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,826.0,Bharti Airtel,Telecommunications Services,India,4260.0,940,6610.0,39160.0,
2009,508.0,Bharti Airtel,Telecommunications Services,India,6730.0,1590,12280.0,23630.0,
2010,471.0,Bharti Airtel,Telecommunications Services,India,7270.0,1530,12880.0,23000.0,
2011,453.0,Bharti Airtel,Telecommunications services,India,9332.0,2044.3,16719.0,27098.0,
2012,,Bharti Airtel,Telecommunications services,India,13350.0,1357.5,31842.0,24744.0,377.0
2013,,Bharti Airtel,Telecommunications services,India,14047.0,837.4,29823.0,21842.0,456.0
2014,,Bharti Airtel,Telecommunications services,India,14329.0,395.8,29196.0,21121.0,625.0
2015,,Bharti Airtel,Telecommunications services,India,14951.0,801.3,30832.0,25775.0,506.0
2016,,Bharti Airtel,Telecommunications services,India,14739.0,849.1,32970.0,21214.0,453.0
2017,,Bharti Airtel,Telecommunications services,India,14658.0,702.0,34828.0,21445.0,513.0
2018,,Bharti Airtel,Telecommunications services,India,12982.0,170.5,38420.0,22912.0,827.0
2019,,Bharti Airtel,Telecommunications Services,India,11785.0,56.0,38604.0,19988.0,852.0
2020,,Bharti Airtel,Telecommunications Services,India,11987.0,-3811.1,49234.0,37357.0,700.0
2021,,Bharti Airtel,Telecommunications Services,India,13486.0,-2843.9,45772.0,39914.0,725
2022,710,Bharti Airtel,Telecommunications Services,India,14985.0,406.6,48724.0,56802.0,
