Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1627.0,BorgWarner,Consumer Durables,United States,5330.0,290,4960.0,5020.0,
2011,1318.0,BorgWarner,Consumer Durables,United States,5653.0,377.4,5555.0,8342.0,
2012,,BorgWarner,Consumer Durables,United States,7115.0,550.1,5959.0,9358.0,1139.0
2013,,BorgWarner,Consumer Durables,United States,7183.0,468.7,6401.0,9223.0,1215.0
2014,,BorgWarner,Consumer Durables,United States,7435.0,624.3,6917.0,14400.0,1043.0
2015,,BorgWarner,Consumer Durables,United States,8304.0,655.8,7228.0,14090.0,1042.0
2016,,BorgWarner,Consumer Durables,United States,8024.0,609.7,8842.0,8397.0,1175.0
2017,,BorgWarner,Consumer Durables,United States,9070.0,118.5,8835.0,8095.0,1651.0
2018,,BorgWarner,Consumer Durables,United States,10174.0,475.8,10035.0,10633.0,1330.0
2019,,BorgWarner,Consumer Durables,United States,10532.0,931.0,10095.0,9135.0,1142.0
2020,,BorgWarner,Consumer Durables,United States,10173.0,746.0,9702.0,5906.0,1356.0
2021,,BorgWarner,Consumer Durables,United States,10165.0,500.0,16029.0,11702.0,1170
2022,1500,BorgWarner,Consumer Durables,United States,14837.0,537.0,16575.0,9085.0,
