Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,787.0,Boston Scientific,Health Care Equipment & Services,United States,8360.0,-500,31200.0,18790.0,
2009,792.0,Boston Scientific,Health Care Equipment & Services,United States,8050.0,-2040,27140.0,10550.0,
2010,838.0,Boston Scientific,Health Care Equipment & Services,United States,8190.0,-1030,25180.0,11740.0,
2011,950.0,Boston Scientific,Health Care Equipment & Services,United States,7806.0,-1065.0,22128.0,11440.0,
2012,,Boston Scientific,Health Care Equipment & Services,United States,7622.0,441.0,21290.0,8882.0,870.0
2013,,Boston Scientific,Health Care Equipment & Services,United States,7249.0,-4068.0,17154.0,10031.0,1169.0
2014,,Boston Scientific,Health Care Equipment & Services,United States,7143.0,-121.0,16571.0,18026.0,1079.0
2015,,Boston Scientific,Health Care Equipment & Services,United States,7380.0,267.0,17042.0,23677.0,1047.0
2016,,Boston Scientific,Health Care Equipment & Services,United States,7477.0,-239.0,18133.0,26759.0,974.0
2017,,Boston Scientific,Health Care Equipment & Services,United States,8386.0,347.0,18096.0,33745.0,848.0
2018,,Boston Scientific,Health Care Equipment & Services,United States,9266.0,112.0,19202.0,41353.0,965.0
2019,,Boston Scientific,Health Care Equipment & Services,United States,9823.0,1671.0,20999.0,48820.0,557.0
2020,,Boston Scientific,Health Care Equipment & Services,United States,10786.0,4287.0,30565.0,52442.0,378.0
2021,,Boston Scientific,Health Care Equipment & Services,United States,9913.0,-139.0,30777.0,58113.0,801
2022,601,Boston Scientific,Health Care Equipment & Services,United States,11888.0,1040.0,32229.0,62633.0,
