Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,185.0,Bouygues,Construction,France,45470.0,2090,48990.0,9930.0,
2010,178.0,Bouygues,Construction,France,43720.0,1840,49520.0,16320.0,
2011,260.0,Bouygues,Construction,France,41801.0,1433.7,47390.0,16516.0,
2012,,Bouygues,Construction,France,42365.0,1386.0,45002.0,10090.0,354.0
2013,,Bouygues,Construction,France,44257.0,835.1,48098.0,9372.0,426.0
2014,,Bouygues,Construction,France,44269.0,-1005.0,47269.0,13410.0,660.0
2015,,Bouygues,Construction,France,43956.0,1070.4,42192.0,13700.0,401.0
2016,,Bouygues,Construction,France,35960.0,446.9,36755.0,11726.0,572.0
2017,,Bouygues,Construction,France,35142.0,809.7,36762.0,14468.0,454.0
2018,,Bouygues,Construction,France,37114.0,1223.8,42962.0,18768.0,423.0
2019,,Bouygues,Construction,France,41946.0,1547.0,43090.0,14607.0,424.0
2020,,Bouygues,Construction,France,42452.0,1325.2,44175.0,11696.0,445.0
2021,,Bouygues,Construction,France,39550.0,793.4,49704.0,15877.0,482
2022,527,Bouygues,Construction,France,44429.0,1329.7,50767.0,13134.0,
