Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,356.0,Bridgestone,Consumer Durables,Japan,30310.0,1180,28850.0,13630.0,
2009,598.0,Bridgestone,Consumer Durables,Japan,35640.0,110,29070.0,11240.0,
2010,624.0,Bridgestone,Consumer Durables,Japan,27940.0,10,28720.0,14440.0,
2011,321.0,Bridgestone,Consumer Durables,Japan,35255.0,1218.6,32100.0,17413.0,
2012,,Bridgestone,Consumer Durables,Japan,39286.0,1337.6,33568.0,19977.0,308.0
2013,,Bridgestone,Consumer Durables,Japan,38107.0,2151.0,35087.0,27447.0,248.0
2014,,Bridgestone,Consumer Durables,Japan,36549.0,2069.7,34033.0,27729.0,285.0
2015,,Bridgestone,Consumer Durables,Japan,34709.0,2839.8,33036.0,34121.0,269.0
2016,,Bridgestone,Consumer Durables,Japan,31308.0,2348.3,31554.0,30893.0,272.0
2017,,Bridgestone,Consumer Durables,Japan,30711.0,2443.9,31896.0,31743.0,279.0
2018,,Bridgestone,Consumer Durables,Japan,32945.0,2638.6,35312.0,30715.0,313.0
2019,,Bridgestone,Consumer Durables,Japan,33050.0,2641.0,35216.0,29808.0,326.0
2020,,Bridgestone,Consumer Durables,Japan,32342.0,2684.1,36315.0,20729.0,327.0
2021,,Bridgestone,Consumer Durables,Japan,28047.0,-218.2,40577.0,28698.0,685
2022,465,Bridgestone,Consumer Durables,Japan,29544.0,1470.4,39728.0,25695.0,
