Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2013,,Brookfield Asset Management,Real Estate,Canada,18590.0,1380.0,108644.0,23007.0,266.0
2014,,Brookfield Asset Management,Real Estate,Canada,20836.0,2130.8,112745.0,25191.0,238.0
2015,,Brookfield Asset Management,Real Estate,Canada,18553.0,3118.5,129480.0,34978.0,204.0
2016,,Brookfield Asset Management,Real Estate,Canada,20094.0,2330.2,139514.0,33378.0,197.0
2017,,Brookfield Asset Management,Real Estate,Canada,24872.0,1640.7,159826.0,35355.0,202.0
2018,,Brookfield Asset Management,Real Estate,Canada,47594.0,2339.0,195936.0,38914.0,165.0
2019,,Brookfield Asset Management,Diversified Financials,Canada,57574.0,3598.0,256281.0,45982.0,118.0
2020,,Brookfield Asset Management,Diversified Financials,Canada,69109.0,2802.6,323969.0,51279.0,95.0
2021,,Brookfield Asset Management,Diversified Financials,Canada,63400.0,-175.9,343696.0,69674.0,375
2022,83,Brookfield Asset Management,Diversified Financials,Canada,78819.0,3971.6,391003.0,80937.0,
