Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1626.0,Bunzl,Business Services & Supplies,United Kingdom,7110.0,260,4130.0,4530.0,
2009,1722.0,Bunzl,Business Services & Supplies,United Kingdom,6100.0,210,3950.0,2710.0,
2010,1538.0,Bunzl,Business Services & Supplies,United Kingdom,7510.0,240,4040.0,3420.0,
2011,1863.0,Bunzl,Business Services & Supplies,United Kingdom,7534.0,248.1,4153.0,3820.0,
2012,,Bunzl,Business Services & Supplies,United Kingdom,7934.0,192.2,4240.0,5249.0,1850.0
2013,,Bunzl,Business Services & Supplies,United Kingdom,8714.0,317.6,4768.0,6524.0,1489.0
2014,,Bunzl,Business Services & Supplies,United Kingdom,9531.0,323.2,5253.0,8938.0,1377.0
2015,,Bunzl,Business Services & Supplies,United Kingdom,10137.0,346.9,5128.0,9281.0,1395.0
2016,,Bunzl,Business Services & Supplies,United Kingdom,9915.0,355.5,5429.0,9996.0,1238.0
2017,,Bunzl,Business Services & Supplies,United Kingdom,10024.0,358.8,5649.0,9757.0,1300.0
2018,,Bunzl,Business Services & Supplies,United Kingdom,11051.0,399.9,7089.0,10176.0,1413.0
2019,,Bunzl,Trading Companies,United Kingdom,12107.0,435.0,7145.0,10296.0,1337.0
2020,,Bunzl,Trading Companies,United Kingdom,11898.0,445.5,7926.0,7265.0,1422.0
2021,,Bunzl,Trading Companies,United Kingdom,12966.0,551.4,9447.0,11564.0,1174
2022,1330,Bunzl,Trading Companies,United Kingdom,14145.0,609.0,9748.0,13282.0,
