Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,493.0,CIMB Group Holdings,Banking,Malaysia,4240.0,820,70140.0,14050.0,
2011,465.0,CIMB Group Holdings,Banking,Malaysia,5267.0,1141.6,87352.0,19511.0,
2012,,CIMB Group Holdings,Banking,Malaysia,5424.0,1271.6,94685.0,18621.0,493.0
2013,,CIMB Group Holdings,Banking,Malaysia,6267.0,1420.8,110185.0,16814.0,467.0
2014,,CIMB Group Holdings,Banking,Malaysia,6756.0,1441.2,113239.0,18066.0,460.0
2015,,CIMB Group Holdings,Banking,Malaysia,6642.0,949.5,118449.0,14541.0,574.0
2016,,CIMB Group Holdings,Banking,Malaysia,5902.0,728.8,107663.0,10740.0,668.0
2017,,CIMB Group Holdings,Banking,Malaysia,6020.0,860.3,108261.0,10918.0,671.0
2018,,CIMB Group Holdings,Banking,Malaysia,6639.0,1040.9,125307.0,16358.0,620.0
2019,,CIMB Group Holdings,Banking,Malaysia,6398.0,1384.0,129241.0,11659.0,659.0
2020,,CIMB Group Holdings,Banking,Malaysia,7431.0,1100.6,140141.0,7961.0,689.0
2021,,CIMB Group Holdings,Banking,Malaysia,6136.0,284.2,149746.0,10315.0,1175
2022,895,CIMB Group Holdings,Banking,Malaysia,5659.0,1036.2,149282.0,12218.0,
