Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1426.0,CMS Energy,Utilities,United States,6500.0,-220,14200.0,3240.0,
2009,1090.0,CMS Energy,Utilities,United States,6830.0,300,14900.0,2510.0,
2010,1189.0,CMS Energy,Utilities,United States,6200.0,230,15260.0,3530.0,
2011,1181.0,CMS Energy,Utilities,United States,6432.0,340.0,15616.0,4849.0,
2012,,CMS Energy,Utilities,United States,6503.0,415.0,16452.0,5598.0,1151.0
2013,,CMS Energy,Utilities,United States,6253.0,382.0,17131.0,7297.0,1113.0
2014,,CMS Energy,Utilities,United States,6566.0,452.0,17416.0,7786.0,1090.0
2015,,CMS Energy,Utilities,United States,7179.0,477.0,19185.0,9827.0,1010.0
2016,,CMS Energy,Utilities,United States,6456.0,523.0,20340.0,11011.0,921.0
2017,,CMS Energy,Utilities,United States,6399.0,551.0,21622.0,12587.0,937.0
2018,,CMS Energy,Utilities,United States,6707.0,502.0,22868.0,12821.0,1061.0
2019,,CMS Energy,Utilities,United States,6873.0,657.0,24529.0,15269.0,923.0
2020,,CMS Energy,Utilities,United States,6650.0,710.0,27447.0,16340.0,834.0
2021,,CMS Energy,Utilities,United States,6680.0,755.0,29666.0,18546.0,816
2022,832,CMS Energy,Utilities,United States,7399.0,1353.0,28753.0,20820.0,
