Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,418.0,CSX,Transportation,United States,10030.0,1340,25530.0,19570.0,
2009,382.0,CSX,Transportation,United States,11260.0,1370,26290.0,9850.0,
2010,370.0,CSX,Transportation,United States,9040.0,1150,27040.0,18850.0,
2011,383.0,CSX,Transportation,United States,10636.0,1563.0,28141.0,27737.0,
2012,,CSX,Transportation,United States,11743.0,1822.0,29473.0,23413.0,387.0
2013,,CSX,Transportation,United States,11756.0,1859.0,30571.0,24520.0,396.0
2014,,CSX,Transportation,United States,12026.0,1865.0,31782.0,29341.0,394.0
2015,,CSX,Transportation,United States,12669.0,1927.0,33053.0,32960.0,384.0
2016,,CSX,Transportation,United States,11402.0,1882.0,34610.0,26315.0,377.0
2017,,CSX,Transportation,United States,11069.0,1714.0,36036.0,43784.0,354.0
2018,,CSX,Transportation,United States,11415.0,5804.0,37439.0,55226.0,339.0
2019,,CSX,Transportation,United States,12387.0,3448.0,38154.0,63900.0,344.0
2020,,CSX,Transportation,United States,11779.0,3267.0,38834.0,50697.0,332.0
2021,,CSX,Transportation,United States,10583.0,2765.0,40271.0,74917.0,331
2022,370,CSX,Transportation,United States,13122.0,3934.0,40452.0,75339.0,
