Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2012,,Caesars Entertainment,Casinos & Gaming,United States,8834.0,-687.6,28516.0,1628.0,1335.0
2013,,Caesars Entertainment,Casinos & Gaming,United States,8587.0,-1497.0,27998.0,2122.0,1393.0
2014,,Caesars Entertainment,Casinos & Gaming,United States,8560.0,-2948.1,24689.0,2781.0,1428.0
2015,,Caesars Entertainment,Casinos & Gaming,United States,8630.0,-2771.9,23535.0,1604.0,1464.0
2016,,Caesars Entertainment,Casinos & Gaming,United States,4654.0,5920.0,12195.0,1073.0,1198.0
2018,,Caesars Entertainment,Casinos & Gaming,United States,5861.0,137.0,25151.0,8309.0,1550.0
2019,,Caesars Entertainment,"Hotels, Restaurants & Leisure",United States,8391.0,303.0,25775.0,6407.0,1533.0
2020,,Caesars Entertainment,"Hotels, Restaurants & Leisure",United States,8742.0,-1195.0,25345.0,6607.0,1451.0
2021,,Caesars Entertainment,"Hotels, Restaurants & Leisure",United States,3474.0,-1756.6,36385.0,19503.0,1391
2022,1172,Caesars Entertainment,"Hotels, Restaurants & Leisure",United States,9477.0,-1019.0,38031.0,14261.0,
