Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2012,,CaixaBank,Banking,Spain,15143.0,1193.7,348115.0,16608.0,300.0
2013,,CaixaBank,Banking,Spain,16265.0,303.0,450060.0,16797.0,532.0
2014,,CaixaBank,Banking,Spain,15949.0,667.8,468765.0,33254.0,325.0
2015,,CaixaBank,Banking,Spain,15331.0,822.4,409751.0,28182.0,330.0
2016,,CaixaBank,Banking,Spain,12515.0,902.7,373965.0,18788.0,347.0
2017,,CaixaBank,Banking,Spain,11013.0,1158.2,366976.0,25732.0,321.0
2018,,CaixaBank,Banking,Spain,11657.0,2319.7,472790.0,30709.0,299.0
2019,,CaixaBank,Banking,Spain,12392.0,2342.0,441967.0,19870.0,343.0
2020,,CaixaBank,Banking,Spain,11255.0,1402.1,456885.0,10745.0,462.0
2021,,CaixaBank,Banking,Spain,11584.0,1574.3,552457.0,24688.0,306
2022,273,CaixaBank,Banking,Spain,14640.0,6177.0,773337.0,26815.0,
