Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,617.0,Calpine,Utilities,United States,7970.0,2690,18480.0,7890.0,
2009,1125.0,Calpine,Utilities,United States,9940.0,10,20740.0,2410.0,
2010,1173.0,Calpine,Utilities,United States,6560.0,150,16650.0,4950.0,
2011,1240.0,Calpine,Utilities,United States,6545.0,31.0,17256.0,6790.0,
2012,,Calpine,Utilities,United States,6800.0,-190.0,17371.0,8462.0,1215.0
2013,,Calpine,Utilities,United States,5478.0,199.0,16549.0,9198.0,1357.0
2014,,Calpine,Utilities,United States,6498.0,14.0,16559.0,8907.0,1359.0
2015,,Calpine,Utilities,United States,7860.0,946.0,18378.0,8692.0,878.0
2016,,Calpine,Utilities,United States,6063.0,235.0,18833.0,5533.0,1669.0
2017,,Calpine,Utilities,United States,6625.0,92.0,19317.0,3801.0,1706.0
