Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,797.0,Canadian Pacific Railway,Transportation,Canada,4590.0,950,13470.0,11200.0,
2009,973.0,Canadian Pacific Railway,Transportation,Canada,3990.0,500,12530.0,4360.0,
2010,822.0,Canadian Pacific Railway,Transportation,Canada,4100.0,580,14820.0,8400.0,
2011,841.0,Canadian Pacific Railway,Transportation,Canada,5013.0,654.9,13763.0,10919.0,
2012,,Canadian Pacific Railway,Transportation,Canada,5084.0,559.8,13857.0,13251.0,942.0
2013,,Canadian Pacific Railway,Transportation,Canada,5720.0,486.1,14791.0,22078.0,855.0
2014,,Canadian Pacific Railway,Transportation,Canada,5952.0,849.2,16056.0,26469.0,750.0
2015,,Canadian Pacific Railway,Transportation,Canada,5994.0,1336.4,14638.0,30148.0,741.0
2016,,Canadian Pacific Railway,Transportation,Canada,5060.0,1198.2,14959.0,22787.0,785.0
2017,,Canadian Pacific Railway,Transportation,Canada,4704.0,1206.9,14523.0,22034.0,875.0
2018,,Canadian Pacific Railway,Transportation,Canada,5152.0,1809.1,15760.0,26685.0,849.0
2019,,Canadian Pacific Railway,Transportation,Canada,5644.0,1505.0,15718.0,30336.0,828.0
2020,,Canadian Pacific Railway,Transportation,Canada,6063.0,1814.7,16502.0,30893.0,742.0
2021,,Canadian Pacific Railway,Transportation,Canada,5748.0,1822.1,18695.0,49249.0,692
2022,543,Canadian Pacific Railway,Transportation,Canada,6377.0,2274.8,54108.0,69423.0,
