Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1305.0,Canara Bank,Banking,India,3030.0,350,38540.0,2850.0,
2009,1059.0,Canara Bank,Banking,India,4190.0,450,45100.0,1330.0,
2010,1008.0,Canara Bank,Banking,India,3820.0,400,43390.0,3490.0,
2011,816.0,Canara Bank,Banking,India,4870.0,669.2,59366.0,5520.0,
2012,,Canara Bank,Banking,India,5817.0,905.7,76085.0,4332.0,855.0
2013,,Canara Bank,Banking,India,6673.0,657.0,74410.0,3548.0,920.0
2014,,Canara Bank,Banking,India,6870.0,545.7,77217.0,2019.0,966.0
2015,,Canara Bank,Banking,India,7126.0,435.6,83961.0,2852.0,1026.0
2016,,Canara Bank,Banking,India,7954.0,468.5,89377.0,1724.0,946.0
2017,,Canara Bank,Banking,India,7510.0,-398.2,85126.0,2833.0,1230.0
2018,,Canara Bank,Banking,India,7358.0,202.6,91809.0,2684.0,1271.0
2019,,Canara Bank,Banking,India,7562.0,-613.0,96814.0,3012.0,1289.0
2020,,Canara Bank,Banking,India,8291.0,104.0,103215.0,1701.0,1237.0
2021,,Canara Bank,Banking,India,11491.0,-204.4,156303.0,2971.0,1069
2022,926,Canara Bank,Banking,India,12684.0,730.6,164705.0,5532.0,
