Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,779.0,Capgemini,IT Software & Services,France,12710.0,640,10320.0,8010.0,
2009,710.0,Capgemini,IT Software & Services,France,12710.0,640,12020.0,4250.0,
2010,835.0,Capgemini,IT Software & Services,France,11990.0,260,11110.0,7130.0,
2011,898.0,Capgemini,IT Software & Services,France,11643.0,374.8,10429.0,8752.0,
2012,,Capgemini,IT Software & Services,France,12556.0,523.3,12493.0,6945.0,903.0
2013,,Capgemini,IT Software & Services,France,13541.0,488.0,12645.0,8057.0,894.0
2014,,Capgemini,IT Software & Services,France,13398.0,586.8,14022.0,11849.0,798.0
2015,,Capgemini,IT Software & Services,France,14025.0,769.3,13866.0,13831.0,766.0
2016,,Capgemini,IT Software & Services,France,13213.0,1246.4,17632.0,15201.0,578.0
2017,,Capgemini,IT Software & Services,France,13871.0,1018.8,17360.0,15717.0,639.0
2018,,Capgemini,IT Software & Services,France,14429.0,924.9,19260.0,23263.0,665.0
2019,,Capgemini,IT Software & Services,France,15569.0,861.0,18860.0,20882.0,670.0
2020,,Capgemini,IT Software & Services,France,15809.0,958.1,20357.0,15883.0,644.0
2021,,Capgemini,IT Software & Services,France,18066.0,1091.0,26862.0,30560.0,484
2022,524,Capgemini,IT Software & Services,France,21465.0,1367.6,27330.0,35594.0,
