Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,790.0,CapitaLand,Diversified Financials,Singapore,2640.0,1920,17970.0,12680.0,
2009,871.0,CapitaLand,Diversified Financials,Singapore,1910.0,870,17410.0,5420.0,
2010,773.0,CapitaLand,Diversified Financials,Singapore,2100.0,750,21490.0,11540.0,
2011,822.0,CapitaLand,Real Estate,Singapore,2637.0,992.3,24746.0,11050.0,
2012,,CapitaLand,Real Estate,Singapore,2328.0,815.2,27239.0,10355.0,885.0
2013,,CapitaLand,Real Estate,Singapore,2704.0,762.0,30935.0,11579.0,857.0
2014,,CapitaLand,Real Estate,Singapore,3331.0,679.1,28635.0,9827.0,980.0
2015,,CapitaLand,Real Estate,Singapore,3209.0,916.2,33291.0,11302.0,901.0
2016,,CapitaLand,Real Estate,Singapore,3507.0,810.0,34460.0,10067.0,926.0
2017,,CapitaLand,Real Estate,Singapore,3923.0,862.2,31661.0,11378.0,948.0
2018,,CapitaLand,Real Estate,Singapore,4033.0,1093.3,47360.0,11597.0,931.0
2019,,CapitaLand,Construction,Singapore,4386.0,1306.0,47430.0,11175.0,890.0
2020,,CapitaLand,Construction,Singapore,5008.0,1565.7,61240.0,10771.0,761.0
2021,,CapitaLand,Construction,Singapore,4878.0,-1141.3,63837.0,14644.0,1297
