Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,829.0,Carlsberg,"Food, Drink & Tobacco",Denmark,8760.0,450,11990.0,9540.0,
2009,583.0,Carlsberg,"Food, Drink & Tobacco",Denmark,11200.0,490,26530.0,5200.0,
2010,435.0,Carlsberg,"Food, Drink & Tobacco",Denmark,11420.0,690,25940.0,11850.0,
2011,477.0,Carlsberg,"Food, Drink & Tobacco",Denmark,10778.0,960.3,25731.0,16006.0,
2012,,Carlsberg,"Food, Drink & Tobacco",Denmark,11065.0,896.4,25591.0,12798.0,563.0
2013,,Carlsberg,"Food, Drink & Tobacco",Denmark,11609.0,969.0,27235.0,15769.0,525.0
2014,,Carlsberg,"Food, Drink & Tobacco",Denmark,11847.0,973.9,27916.0,15178.0,565.0
2015,,Carlsberg,"Food, Drink & Tobacco",Denmark,11478.0,785.4,22567.0,13089.0,697.0
2016,,Carlsberg,"Food, Drink & Tobacco",Denmark,9716.0,-435.0,18428.0,14691.0,1017.0
2017,,Carlsberg,"Food, Drink & Tobacco",Denmark,9303.0,666.5,18318.0,14112.0,787.0
2018,,Carlsberg,"Food, Drink & Tobacco",Denmark,9372.0,190.9,18849.0,17425.0,1100.0
2019,,Carlsberg,"Food, Drink & Tobacco",Denmark,9893.0,840.0,18030.0,19285.0,794.0
2020,,Carlsberg,"Food, Drink & Tobacco",Denmark,9879.0,984.8,18495.0,18103.0,729.0
2021,,Carlsberg,"Food, Drink & Tobacco",Denmark,8952.0,922.1,19770.0,24214.0,735
2022,936,Carlsberg,"Food, Drink & Tobacco",Denmark,10590.0,1088.1,19324.0,17764.0,
