Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,285.0,Carnival,"Hotels, Restaurants & Leisure",Panama/United Kingdom,13030.0,2410,34180.0,32930.0,
2009,248.0,Carnival,"Hotels, Restaurants & Leisure",Panama/United Kingdom,14650.0,2330,33400.0,16580.0,
2010,238.0,Carnival,"Hotels, Restaurants & Leisure",Panama/United Kingdom,13160.0,1790,36840.0,30090.0,
2011,277.0,Carnival,"Hotels, Restaurants & Leisure",Panama,14469.0,1978.0,37490.0,33243.0,
2012,,Carnival,"Hotels, Restaurants & Leisure",Panama,15956.0,1621.0,38637.0,26213.0,313.0
2013,,Carnival,"Hotels, Restaurants & Leisure",Panama,15394.0,1474.0,38675.0,28449.0,338.0
2014,,Carnival,"Hotels, Restaurants & Leisure",United States,15456.0,1078.0,40104.0,31025.0,375.0
2015,,Carnival,"Hotels, Restaurants & Leisure",United States,15829.0,1300.0,38714.0,37418.0,351.0
2016,,Carnival,"Hotels, Restaurants & Leisure",United States,15835.0,1850.0,38446.0,37769.0,311.0
2017,,Carnival,"Hotels, Restaurants & Leisure",United States,16528.0,2990.0,38703.0,43935.0,270.0
2018,,Carnival,"Hotels, Restaurants & Leisure",United States,17951.0,2645.0,41441.0,47412.0,310.0
2019,,Carnival,"Hotels, Restaurants & Leisure",United States,19322.0,3098.0,43930.0,38899.0,312.0
2020,,Carnival,"Hotels, Restaurants & Leisure",United States,20941.0,1873.0,46943.0,10883.0,468.0
2021,,Carnival,"Hotels, Restaurants & Leisure",United States,831.0,-11427.0,57226.0,30595.0,1114
