Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1276.0,Cattolica Assicurazioni,Insurance,Italy,6610.0,180,25770.0,2190.0,
2009,1431.0,Cattolica Assicurazioni,Insurance,Italy,5430.0,50,24380.0,1260.0,
2010,1559.0,Cattolica Assicurazioni,Insurance,Italy,4510.0,40,21420.0,1600.0,
2011,1376.0,Cattolica Assicurazioni,Insurance,Italy,6990.0,83.6,25475.0,1418.0,
2012,,Cattolica Assicurazioni,Insurance,Italy,6568.0,83.1,24044.0,1115.0,1484.0
2013,,Cattolica Assicurazioni,Insurance,Italy,5169.0,79.7,23228.0,1021.0,1743.0
2014,,Cattolica Assicurazioni,Insurance,Italy,5963.0,89.0,24520.0,1465.0,1616.0
2015,,Cattolica Assicurazioni,Insurance,Italy,7611.0,120.7,26977.0,1561.0,1476.0
2016,,Cattolica Assicurazioni,Insurance,Italy,6244.0,67.6,25326.0,1189.0,1591.0
2017,,Cattolica Assicurazioni,Insurance,Italy,5521.0,84.1,24832.0,1386.0,1692.0
2018,,Cattolica Assicurazioni,Insurance,Italy,5905.0,46.4,30309.0,1700.0,1677.0
2019,,Cattolica Assicurazioni,Insurance,Italy,7148.0,126.0,39052.0,1609.0,1499.0
2020,,Cattolica Assicurazioni,Insurance,Italy,8281.0,84.1,41220.0,922.0,1474.0
2021,,Cattolica Assicurazioni,Insurance,Italy,5756.0,41.0,31801.0,975.0,1932
