Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,1316.0,Chang Hwa Bank,Banking,Taiwan,1550.0,350,41050.0,3070.0,
2009,1413.0,Chang Hwa Bank,Banking,Taiwan,1680.0,260,40000.0,1810.0,
2010,1605.0,Chang Hwa Bank,Banking,Taiwan,1500.0,150,42190.0,2780.0,
2011,1559.0,Chang Hwa Bank,Banking,Taiwan,1036.0,96.6,45818.0,4692.0,
2012,,Chang Hwa Bank,Banking,Taiwan,1254.0,268.3,51315.0,4009.0,1557.0
2013,,Chang Hwa Bank,Banking,Taiwan,1215.0,298.6,52312.0,4302.0,1503.0
2014,,Chang Hwa Bank,Banking,Taiwan,1148.0,286.3,56243.0,4605.0,1557.0
2015,,Chang Hwa Bank,Banking,Taiwan,1306.0,359.6,57461.0,4657.0,1457.0
2016,,Chang Hwa Bank,Banking,Taiwan,1362.0,366.7,58034.0,4424.0,1406.0
2017,,Chang Hwa Bank,Banking,Taiwan,1337.0,374.7,62216.0,5474.0,1416.0
2018,,Chang Hwa Bank,Banking,Taiwan,1430.0,397.5,68426.0,5440.0,1502.0
2019,,Chang Hwa Bank,Banking,Taiwan,1641.0,419.0,67730.0,5793.0,1501.0
2020,,Chang Hwa Bank,Banking,Taiwan,1609.0,374.3,71243.0,6582.0,1404.0
2021,,Chang Hwa Bank,Banking,Taiwan,1336.0,239.1,82335.0,6523.0,1752
2022,1686,Chang Hwa Bank,Banking,Taiwan,1304.0,315.2,92208.0,6704.0,
