Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,1668.0,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,4950.0,310,3440.0,2800.0,
2011,1352.0,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,6288.0,451.1,4167.0,6000.0,
2012,,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,6529.0,502.0,5024.0,9452.0,1215.0
2013,,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,11672.0,614.0,10126.0,9046.0,914.0
2014,,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,12667.0,229.9,11108.0,6703.0,1414.0
2015,,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,13115.0,325.1,12668.0,5362.0,1454.0
2016,,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,12294.0,322.7,13735.0,5635.0,1295.0
2017,,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,13165.0,416.7,16257.0,6269.0,1149.0
2018,,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,14779.0,436.0,18211.0,6344.0,1261.0
2019,,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,16764.0,456.0,19290.0,4613.0,1220.0
2020,,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,17155.0,575.1,21168.0,4758.0,1071.0
2021,,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,18844.0,812.3,25425.0,7949.0,859
2022,1471,Charoen Pokphand Foods,"Food, Drink & Tobacco",Thailand,16014.0,388.2,25226.0,5918.0,
