Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2009,1561.0,Check Point Software,IT Software & Services,Israel,760.0,300,2600.0,4610.0,
2010,1448.0,Check Point Software,IT Software & Services,Israel,960.0,370,3060.0,6910.0,
2011,1431.0,Check Point Software,IT Software & Services,Israel,1161.0,479.0,3570.0,10188.0,
2012,,Check Point Software,IT Software & Services,Israel,1169.0,509.9,4089.0,12817.0,1390.0
2013,,Check Point Software,IT Software & Services,Israel,1383.0,639.0,4528.0,10315.0,1382.0
2014,,Check Point Software,IT Software & Services,Israel,1394.0,653.0,4886.0,13109.0,1353.0
2015,,Check Point Software,IT Software & Services,Israel,1496.0,659.6,4949.0,15226.0,1347.0
2016,,Check Point Software,IT Software & Services,Israel,1662.0,692.4,5014.0,14998.0,1275.0
2017,,Check Point Software,IT Software & Services,Israel,1741.0,724.8,5218.0,18043.0,1251.0
2018,,Check Point Software,IT Software & Services,Israel,1872.0,807.5,5422.0,15940.0,1349.0
2019,,Check Point Software,IT Software & Services,Israel,1916.0,821.0,5828.0,18744.0,1302.0
2020,,Check Point Software,IT Software & Services,Israel,2009.0,824.4,5621.0,15382.0,1274.0
2021,,Check Point Software,IT Software & Services,Israel,2065.0,846.6,5839.0,16298.0,1402
2022,1605,Check Point Software,IT Software & Services,Israel,2167.0,815.6,5943.0,17586.0,
