Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,17.0,China Construction Bank,Banking,China,59160.0,13590,1106200.0,184320.0,
2011,17.0,China Construction Bank,Banking,China,58246.0,15637.6,1408020.0,224794.0,
2012,,China Construction Bank,Banking,China,68692.0,20458.5,1637782.0,201941.0,13.0
2013,,China Construction Bank,Banking,China,113081.0,30617.0,2241031.0,202004.0,2.0
2014,,China Construction Bank,Banking,China,121284.0,34217.2,2449488.0,174365.0,2.0
2015,,China Construction Bank,Banking,China,130473.0,37038.9,2698925.0,212945.0,2.0
2016,,China Construction Bank,Banking,China,146816.0,36393.4,2825983.0,162774.0,2.0
2017,,China Construction Bank,Banking,China,134242.0,34981.4,3016578.0,200458.0,2.0
2018,,China Construction Bank,Banking,China,143202.0,37203.1,3631583.0,261166.0,2.0
2019,,China Construction Bank,Banking,China,150313.0,38841.0,3382422.0,224988.0,3.0
2020,,China Construction Bank,Banking,China,162147.0,38914.8,3822048.0,203818.0,2.0
2021,,China Construction Bank,Banking,China,173478.0,39299.2,4301700.0,210435.0,4
2022,5,China Construction Bank,Banking,China,202069.0,46887.3,4746951.0,181325.0,
