Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2012,,China Hongqiao Group,Diversified Metals & Mining,China,3754.0,933.5,4707.0,4352.0,1729.0
2013,,China Hongqiao Group,Diversified Metals & Mining,China,3931.0,864.0,7117.0,2988.0,1833.0
2014,,China Hongqiao Group,Diversified Metals & Mining,China,4785.0,909.6,10766.0,3900.0,1509.0
2015,,China Hongqiao Group,Diversified Metals & Mining,China,5857.0,862.5,13436.0,3918.0,1339.0
2016,,China Hongqiao Group,Diversified Metals & Mining,China,7022.0,583.7,16391.0,5307.0,1204.0
2017,,China Hongqiao Group,Diversified Metals & Mining,China,7294.0,648.6,19098.0,6587.0,1101.0
2018,,China Hongqiao Group,Diversified Metals & Mining,China,13814.0,763.8,24281.0,9651.0,850.0
2019,,China Hongqiao Group,Materials,China,13645.0,808.0,25741.0,7049.0,921.0
2020,,China Hongqiao Group,Materials,China,12187.0,879.6,25784.0,4268.0,978.0
2021,,China Hongqiao Group,Materials,China,12499.0,1533.6,27758.0,13805.0,646
2022,656,China Hongqiao Group,Materials,China,17757.0,2491.9,29564.0,12763.0,
