Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,1956.0,China Longyuan Power,Utilities,China,1260.0,90,5260.0,9290.0,
2011,1534.0,China Longyuan Power,Utilities,China,2156.0,306.3,11295.0,6671.0,
2012,,China Longyuan Power,Utilities,China,2156.0,306.3,11295.0,6539.0,1705.0
2013,,China Longyuan Power,Utilities,China,2740.0,411.0,17296.0,7246.0,1333.0
2014,,China Longyuan Power,Utilities,China,3111.0,332.5,18281.0,8184.0,1466.0
2015,,China Longyuan Power,Utilities,China,2955.0,415.5,19909.0,8894.0,1374.0
2016,,China Longyuan Power,Utilities,China,3129.0,460.3,20555.0,5885.0,1480.0
2017,,China Longyuan Power,Utilities,China,3355.0,516.0,19953.0,6361.0,1493.0
2018,,China Longyuan Power,Utilities,China,3640.0,542.5,22364.0,7146.0,1582.0
2019,,China Longyuan Power,Utilities,China,3996.0,607.0,21339.0,5501.0,1676.0
2020,,China Longyuan Power,Utilities,China,3990.0,631.3,22511.0,4012.0,1648.0
2021,,China Longyuan Power,Utilities,China,4154.0,680.4,26803.0,11170.0,1272
2022,1103,China Longyuan Power,Utilities,China,5720.0,993.0,29703.0,16817.0,
