Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,427.0,China Merchants Bank,Banking,China,4840.0,870,119340.0,63650.0,
2009,221.0,China Merchants Bank,Banking,China,8150.0,2090,179130.0,30680.0,
2010,141.0,China Merchants Bank,Banking,China,12090.0,3090,230000.0,45650.0,
2011,185.0,China Merchants Bank,Banking,China,11496.0,2671.1,302498.0,46708.0,
2012,,China Merchants Bank,Banking,China,15201.0,3909.7,364023.0,42548.0,160.0
2013,,China Merchants Bank,Banking,China,28395.0,7267.0,547039.0,44114.0,101.0
2014,,China Merchants Bank,Banking,China,32239.0,8083.0,634657.0,45192.0,102.0
2015,,China Merchants Bank,Banking,China,45474.0,9071.9,762706.0,64043.0,55.0
2016,,China Merchants Bank,Banking,China,48189.0,9202.5,843134.0,66759.0,38.0
2017,,China Merchants Bank,Banking,China,44491.0,9381.4,855070.0,66376.0,42.0
2018,,China Merchants Bank,Banking,China,49936.0,11023.6,993732.0,112449.0,32.0
2019,,China Merchants Bank,Banking,China,54867.0,12259.0,982526.0,130355.0,31.0
2020,,China Merchants Bank,Banking,China,58381.0,13710.6,1094883.0,120856.0,26.0
2021,,China Merchants Bank,Banking,China,60414.0,14091.9,1278548.0,192801.0,22
2022,24,China Merchants Bank,Banking,China,71066.0,18584.4,1451202.0,167321.0,
