Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,663.0,China Minsheng Banking,Banking,China,3670.0,480,92770.0,27910.0,
2009,412.0,China Minsheng Banking,Banking,China,5890.0,870,125790.0,12910.0,
2010,265.0,China Minsheng Banking,Banking,China,8960.0,1160,154370.0,24090.0,
2011,287.0,China Minsheng Banking,Banking,China,9313.0,1773.0,208468.0,21569.0,
2012,,China Minsheng Banking,Banking,China,12143.0,2667.4,276080.0,26639.0,227.0
2013,,China Minsheng Banking,Banking,China,27924.0,6149.0,515545.0,43916.0,107.0
2014,,China Minsheng Banking,Banking,China,34132.0,6803.0,541199.0,33573.0,121.0
2015,,China Minsheng Banking,Banking,China,40000.0,7228.2,647185.0,51702.0,79.0
2016,,China Minsheng Banking,Banking,China,42359.0,7355.3,696517.0,49268.0,65.0
2017,,China Minsheng Banking,Banking,China,40151.0,7226.3,848682.0,43653.0,75.0
2018,,China Minsheng Banking,Banking,China,42743.0,7354.0,954040.0,43524.0,90.0
