Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,336.0,China Shenhua Energy,Materials,China,8230.0,2240,20690.0,134730.0,
2009,235.0,China Shenhua Energy,Materials,China,11240.0,2820,32500.0,52170.0,
2010,154.0,China Shenhua Energy,Materials,China,15720.0,3910,40290.0,85420.0,
2011,145.0,China Shenhua Energy,Diversified Metals & Mining,China,23076.0,5787.0,51622.0,82273.0,
2012,,China Shenhua Energy,Diversified Metals & Mining,China,33079.0,7257.0,63576.0,84186.0,126.0
2013,,China Shenhua Energy,Diversified Metals & Mining,China,39663.0,7743.0,70161.0,70764.0,115.0
2014,,China Shenhua Energy,Diversified Metals & Mining,China,42778.0,7237.2,80377.0,57563.0,124.0
2015,,China Shenhua Energy,Diversified Metals & Mining,China,39638.0,5971.8,85847.0,63774.0,127.0
2016,,China Shenhua Energy,Diversified Metals & Mining,China,27251.0,2587.3,85309.0,43089.0,167.0
2017,,China Shenhua Energy,Diversified Metals & Mining,China,26455.0,3416.0,82260.0,54095.0,161.0
2018,,China Shenhua Energy,Diversified Metals & Mining,China,36431.0,6709.0,91177.0,64620.0,131.0
2019,,China Shenhua Energy,Materials,China,38403.0,6658.0,85594.0,57349.0,152.0
2020,,China Shenhua Energy,Materials,China,34999.0,6061.8,80837.0,35559.0,168.0
2021,,China Shenhua Energy,Materials,China,33890.0,5154.2,86074.0,42403.0,172
2022,137,China Shenhua Energy,Materials,China,52022.0,7996.8,95805.0,62806.0,
