Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2011,1258.0,Chongqing Rural Bank,Banking,China,1321.0,276.6,29310.0,7261.0,
2012,,Chongqing Rural Bank,Banking,China,1792.0,464.9,43134.0,5032.0,1217.0
2013,,Chongqing Rural Bank,Banking,China,3632.0,850.0,69579.0,4997.0,991.0
2014,,Chongqing Rural Bank,Banking,China,4265.0,961.8,81110.0,4148.0,1021.0
2015,,Chongqing Rural Bank,Banking,China,5618.0,1108.3,99761.0,6262.0,837.0
2016,,Chongqing Rural Bank,Banking,China,5890.0,1150.9,110389.0,4928.0,839.0
2017,,Chongqing Rural Bank,Banking,Hong Kong,5324.0,1198.0,115581.0,6487.0,816.0
2018,,Chongqing Rural Bank,Banking,China,6717.0,1371.3,142859.0,7096.0,816.0
2019,,Chongqing Rural Bank,Banking,China,6936.0,1369.0,,6144.0,1453.0
2020,,Chongqing Rural Bank,Banking,China,6979.0,1369.3,147939.0,4966.0,815.0
2021,,Chongqing Rural Bank,Banking,China,7205.0,1207.5,173786.0,4911.0,761
2022,816,Chongqing Rural Bank,Banking,China,8678.0,1478.4,198672.0,4459.0,
