Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,318.0,Christian Dior,Consumer Durables,France,21130.0,1050,42660.0,19600.0,
2009,272.0,Christian Dior,Consumer Durables,France,24960.0,1110,53690.0,9010.0,
2010,223.0,Christian Dior,Consumer Durables,France,24980.0,1110,48530.0,18220.0,
2011,216.0,Christian Dior,Consumer Durables,France,28277.0,1688.1,55268.0,25678.0,
2012,,Christian Dior,Consumer Durables,France,31902.0,1656.7,66364.0,28280.0,210.0
2013,,Christian Dior,Consumer Durables,France,38638.0,1830.0,69868.0,31959.0,196.0
2014,,Christian Dior,Consumer Durables,France,38413.0,1839.6,82864.0,34420.0,192.0
2015,,Christian Dior,Consumer Durables,France,42804.0,3097.2,70391.0,35086.0,180.0
2016,,Christian Dior,Consumer Durables,France,41597.0,1704.4,68096.0,31417.0,216.0
2017,,Christian Dior,Consumer Durables,France,43696.0,1951.3,68331.0,42741.0,189.0
2018,,Christian Dior,Consumer Durables,France,49252.0,2526.6,87373.0,76442.0,150.0
2019,,Christian Dior,Consumer Durables,France,55243.0,3037.0,88332.0,89566.0,143.0
