Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,614.0,Chunghwa Telecom,Telecommunications Services,Taiwan,5660.0,1380,14140.0,24240.0,
2009,524.0,Chunghwa Telecom,Telecommunications Services,Taiwan,6200.0,1530,12430.0,21670.0,
2010,511.0,Chunghwa Telecom,Telecommunications Services,Taiwan,6130.0,1370,14080.0,18780.0,
2011,592.0,Chunghwa Telecom,Telecommunications services,Taiwan,6201.0,1367.9,14023.0,23133.0,
2012,,Chunghwa Telecom,Telecommunications services,Taiwan,6939.0,1632.0,15566.0,23759.0,581.0
2013,,Chunghwa Telecom,Telecommunications services,Taiwan,7449.0,1355.0,15150.0,24282.0,618.0
2014,,Chunghwa Telecom,Telecommunications services,Taiwan,7682.0,1342.4,14305.0,23929.0,657.0
2015,,Chunghwa Telecom,Telecommunications services,Taiwan,7478.0,1274.3,14135.0,24923.0,717.0
2016,,Chunghwa Telecom,Telecommunications services,Taiwan,7300.0,1348.0,13792.0,26532.0,654.0
2017,,Chunghwa Telecom,Telecommunications services,Taiwan,7131.0,1242.4,13874.0,26472.0,720.0
2018,,Chunghwa Telecom,Telecommunications services,Taiwan,7557.0,1267.5,16054.0,28414.0,782.0
2019,,Chunghwa Telecom,Telecommunications Services,Taiwan,7146.0,1177.0,15202.0,27670.0,807.0
2020,,Chunghwa Telecom,Telecommunications Services,Taiwan,6648.0,1065.6,15927.0,28566.0,808.0
2021,,Chunghwa Telecom,Telecommunications Services,Taiwan,7051.0,1134.5,18022.0,31206.0,758
2022,871,Chunghwa Telecom,Telecommunications Services,Taiwan,7535.0,1280.0,18544.0,34868.0,
