Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2010,1646.0,Commercial International Bank,Banking,Egypt,1000.0,280,11680.0,3280.0,
2011,1914.0,Commercial International Bank,Banking,Egypt,1079.0,283.1,12973.0,3641.0,
2013,,Commercial International Bank,Banking,Egypt,1494.0,331.1,14752.0,2801.0,1966.0
2014,,Commercial International Bank,Banking,Egypt,1725.0,437.2,16371.0,4783.0,1750.0
2015,,Commercial International Bank,Banking,Egypt,2014.0,485.6,20114.0,6250.0,1512.0
2016,,Commercial International Bank,Banking,Egypt,2288.0,612.9,22925.0,5547.0,1367.0
2017,,Commercial International Bank,Banking,Egypt,2234.0,596.8,14757.0,4999.0,1699.0
2019,,Commercial International Bank,Banking,Egypt,2378.0,538.0,19111.0,6182.0,1824.0
2020,,Commercial International Bank,Banking,Egypt,2812.0,701.6,24096.0,5965.0,1456.0
2021,,Commercial International Bank,Banking,Egypt,2955.0,647.4,27199.0,5122.0,1524
2022,1627,Commercial International Bank,Banking,Egypt,3225.0,847.1,31715.0,4481.0,
