Year,Rank_nr,Company,Industry,Country,Sales,Profits,Assets,Market_Value,ï»¿Rank_nr
2008,22.0,ConocoPhillips,Oil & Gas Operations,United States,171500.0,11890,177760.0,129150.0,
2009,380.0,ConocoPhillips,Oil & Gas Operations,United States,225420.0,-17000,142870.0,55290.0,
2010,39.0,ConocoPhillips,Oil & Gas Operations,United States,136020.0,4860,152590.0,72720.0,
2011,22.0,ConocoPhillips,Oil & Gas Operations,United States,175752.0,11358.0,156314.0,109082.0,
2012,,ConocoPhillips,Oil & Gas Operations,United States,230859.0,12436.0,153230.0,98767.0,27.0
2013,,ConocoPhillips,Oil & Gas Operations,United States,58437.0,8429.0,117144.0,72124.0,73.0
2014,,ConocoPhillips,Oil & Gas Operations,United States,55597.0,9156.0,118057.0,86309.0,76.0
2015,,ConocoPhillips,Oil & Gas Operations,United States,52001.0,6869.0,116539.0,80525.0,89.0
2016,,ConocoPhillips,Oil & Gas Operations,United States,29447.0,-4428.0,97484.0,58971.0,481.0
2017,,ConocoPhillips,Oil & Gas Operations,United States,23848.0,-3615.0,89772.0,61283.0,519.0
2018,,ConocoPhillips,Oil & Gas Operations,United States,30274.0,-553.0,70727.0,81250.0,530.0
2019,,ConocoPhillips,Oil & Gas Operations,United States,36372.0,6257.0,69980.0,74582.0,159.0
2020,,ConocoPhillips,Oil & Gas Operations,United States,29453.0,3617.0,65033.0,45336.0,201.0
2021,,ConocoPhillips,Oil & Gas Operations,United States,18765.0,-2701.0,62618.0,69081.0,574
2022,128,ConocoPhillips,Oil & Gas Operations,United States,46056.0,8079.0,90661.0,124434.0,
